"1","ncisla",1,1,"""Identity""","September 22, 2009",18.73,1,7.6
"41","ncisla",41,17,"""Personal""","February 22, 2011",18.69,2,8.3
"36","ncisla",36,12,"""Overwatch""","January 11, 2011",18.13,2,7.8
"11","ncisla",11,11,"""Breach""","January 5, 2010",18.07,1,7.5
"15","ncisla",15,15,"""The Bank Job""","February 9, 2010",17.91,1,8
"83","ncisla",83,11,"""Drive""","January 8, 2013",17.9,4,7.9
"38","ncisla",38,14,"""Lockup""","February 1, 2011",17.7,2,8
"84","ncisla",84,12,"""Paper Soldiers""","January 15, 2013",17.63,4,7.9
"2","ncisla",2,2,"""The Only Easy Day""","September 29, 2009",17.42,1,7.3
"10","ncisla",10,10,"""Brimstone""","December 15, 2009",17.36,1,7.5
"85","ncisla",85,13,"""The Chosen One""","January 29, 2013",17.3,4,7.9
"37","ncisla",37,13,"""Archangel""","January 18, 2011",17.29,2,8
"9","ncisla",9,9,"""Random on Purpose""","November 24, 2009",17.18,1,8.1
"39","ncisla",39,15,"""Tin Soldiers""","February 8, 2011",17.16,2,8
"13","ncisla",13,13,"""Missing""","January 26, 2010",17.16,1,8
"60","ncisla",60,12,"""The Watchers""","January 3, 2012",17.08,3,8
"88","ncisla",88,16,"""Lokhay""","February 26, 2013",17.02,4,7.7
"17","ncisla",17,17,"""Full Throttle""","March 9, 2010",16.99,1,7.6
"90","ncisla",90,18,"""Red""","March 19, 2013",16.84,4,7.5
"35","ncisla",35,11,"""Disorder""","December 14, 2010",16.82,2,8
