"10","Suits",22,10,"""High Noon""","August 23, 2012",4.49,2,9.3
"9","Suits",21,9,"""Asterisk""","August 16, 2012",4,2,8.9
"6","Suits",18,6,"""All In""","July 26, 2012",3.89,2,8.6
"3","Suits",15,3,"""Meet the New Boss""","June 28, 2012",3.88,2,8.5
"2","Suits",14,2,"""The Choice""","June 21, 2012",3.8,2,8.5
"12","Suits",24,12,"""Blood in the Water""","January 24, 2013",3.75,2,8.7
"5","Suits",17,5,"""Break Point""","July 19, 2012",3.72,2,8.9
"4","Suits",16,4,"""Discovery""","July 12, 2012",3.7,2,8.7
"11","Suits",23,11,"""Blind-Sided""","January 17, 2013",3.57,2,8.3
"24","Suits",36,8,"""Endgame""","September 3, 2013",3.52,3,8.8
"1","Suits",13,1,"""She Knows""","June 14, 2012",3.47,2,9.1
"8","Suits",20,8,"""Rewind""","August 9, 2012",3.42,2,8.8
"7","Suits",19,7,"""Sucker Punch""","August 2, 2012",3.41,2,9.2
"13","Suits",25,13,"""Zane vs. Zane""","January 31, 2013",3.36,2,8.5
"26","Suits",38,10,"""Stay""","September 17, 2013",3.16,3,8.7
"16","Suits",28,16,"""War""","February 21, 2013",3.1,2,8.9
"14","Suits",26,14,"""He's Back""","February 7, 2013",3.07,2,8.7
"20","Suits",32,4,"""Conflict of Interest""","August 6, 2013",2.99,3,8.6
"25","Suits",37,9,"""Bad Faith""","September 10, 2013",2.95,3,8.6
"17","Suits",29,1,"""The Arrangement""","July 16, 2013",2.93,3,8.7
